name,latitude_deg,longitude_deg
Total Rf Heliport,40.07080078125,-74.93360137939453
Aero B Ranch Airport,38.704022,-101.473911
Lowell Field,59.947733,-151.692524
Epps Airpark,34.86479949951172,-86.77030181884766
Newport Hospital & Clinic Heliport,35.6087,-91.254898
Fulton Airport,34.9428028,-97.8180194
Cordes Airport,34.305599212646484,-112.16500091552734
Goldstone (GTS) Airport,35.35474,-116.885329
Williams Ag Airport,39.427188,-121.763427
Kitchen Creek Helibase Heliport,32.7273736,-116.4597417
Cass Field,40.622202,-104.344002
Grass Patch Airport,28.64550018310547,-82.21900177001953
Ringhaver Heliport,28.846599578857422,-82.34539794921875
River Oak Airport,27.230899810791016,-80.96920013427734
Lt World Airport,33.76750183105469,-84.06829833984375
Caffrey Heliport,33.889245,-84.73793
Kaupulehu Heliport,19.832715,-155.980233
Delta Shores Airport,48.145301818847656,-116.21399688720703
Goltl Airport,39.724028,-101.395994
Bailey Generation Station Heliport,41.644501,-87.122803
Hammer Airport,41.97840118408203,-89.5604019165039
St Mary Medical Center Heliport,41.51139831542969,-87.2605972290039
Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039
Hayden Farm Airport,38.72779846191406,-94.93049621582031
Robbins Roost Airport,37.409400939941406,-84.61969757080078
Shell Chemical East Site Heliport,30.191944,-90.980833
Ac & R Components Heliport,39.66529846191406,-89.70559692382812
Lejeune Airport,30.136299,-92.429398
Slater Field,38.75709915161133,-75.75379943847656
Dow Chemical Heliport,43.94940185546875,-86.41670227050781
Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344
Cooper Flying Service Airport,37.202800750732,-94.412399291992
Livingston Healthcare Heliport,45.675,-110.52515
Bucks Airport,39.473201751708984,-75.1852035522461
North Raleigh Airport,36.085201263427734,-78.37139892578125
Colgate-Piscataway Heliport,40.52090072631836,-74.47460174560547
Cliche Cove Seaplane Base,44.8118612,-73.3698057
Weiss Airfield,42.90010070800781,-77.49970245361328
Exit 3 Airport,41.590476,-84.141583
Miami Valley Hospital Heliport,39.74530029296875,-84.1874008178711
Gull Bay Landing Airport,36.198598,-96.217693
Steel Systems Heliport,44.932899475097656,-123.12999725341797
R J D Heliport,39.94889831542969,-75.74690246582031
Ferrell Field,41.2995,-80.211111
Thomas Field,40.3778,-77.365303
McKenzie Bridge State Airport,44.181466,-122.086
Flying O Airport,34.0093994140625,-80.26719665527344
Homan Field,44.809158,-96.498897
SW Region FAA Heliport,32.8269,-97.305801
Tcjc-Northeast Campus Heliport,32.847599029541016,-97.18949890136719
Ragsdale Road Airport,35.515899658203125,-85.95359802246094
Alpine Range Airport,32.607601165771484,-97.24199676513672
San Jacinto Methodist Hospital Heliport,29.7377,-94.980201
Clear Creek Ranch Airport,37.247799,-112.821998
Vaughan Airport,36.57600021,-78.9991684
Groundhog Mountain Airport,36.663299560546875,-80.49949645996094
Lower Granite State Airport,46.672884,-117.441933
Howell Airport,47.17839813232422,-122.77200317382812
Northern Lite Airport,44.304298400878906,-89.05010223388672
Hawks Run Airport,46.25,-117.2490005493164
Lazy J. Aerodrome,38.82889938354492,-79.86609649658203
Mountain View Regional Hospital Heliport,42.840361,-106.224443
L P Askew Farms Airport,33.03340148925781,-101.93399810791016
Purkeypile Airport,62.943599700927734,-152.27000427246094
Providence Seward Medical Center Heliport,60.105873975399994,-149.446249008
Ware Island Airport,32.94599914550781,-86.51390075683594
DeQueen Medical Center Heliport,34.047456,-94.354023
Yat Heliport,34.607406,-111.8609
Grant Airport,43.341701507568,-85.775001525879
SCE Lugo Substation Heliport,34.368241,-117.370059
Swansboro Country Airport,38.79990005493164,-120.73400115966797
Los Angeles County Sheriff's Department Heliport,34.03779983520508,-118.15399932861328
St Vincent General Hospital Heliport,39.24530029296875,-106.24600219726562
Berlin Fairgrounds Heliport,41.62730026245117,-72.72750091552734
Rybolt Ranch Airport,28.589399337768555,-81.14420318603516
Advent Health Altamonte Springs Heliport,28.666639,-81.3697
Cedar Knoll Flying Ranch Airport,28.78190040588379,-81.1592025756836
Medical Center Heliport,32.47930145263672,-84.9791030883789
The Farm Airport,32.674400329589844,-82.77110290527344
Stender Airport,41.66109848022461,-90.74130249023438
Lava Hot Springs Airport,42.6082,-112.031998
Myers Field,39.8849983215332,-86.50669860839844
Hoopeston Community Memorial Hospital Heliport,40.45859909057617,-87.65950012207031
Community Hospital Heliport,40.13090133666992,-85.69580078125
William E. Koenig Airport,39.01620101928711,-90.31819915771484
Hilliard Airpark,30.68630027770996,-81.90570068359375
Caldwell Municipal Airport,37.03609848022461,-97.5864028930664
Flying N Ranch Airport,38.54059982299805,-97.00330352783203
Lourdes Hospital Heliport,37.051700592041016,-88.64689636230469
Barham Airport,32.638999938964844,-91.77369689941406
Schumaier Restricted Landing Area,38.12580108642578,-89.46389770507812
Country Breeze Airport,30.722478,-91.077372
Compaq Andover Heliport,42.625099182128906,-71.18009948730469
Annapolis Seaplane Base,38.999199,-76.456001
Saint Peter's Seaplane Base,46.778900146484375,-68.50029754638672
Flow Through Terminal Heliport,43.04949951171875,-83.67970275878906
Barnes Seaplane Base,47.899600982666016,-92.55740356445312
